54,0101000020E6100000B6DB2E34D78E5EC051DA1B7C61E04240,0101280,51566,Fernside Blvd:San Jose Av (Lincoln Middle School),687,['687']
55,0101000020E61000007D2656A1DC8E5EC08D3CB59F31E24240,0101290,58336,Fernside Blvd:Versailles Av,O W 663,"['W', '663']"
56,0101000020E6100000898C58D5DC8E5EC0B4441D0C2BE24240,0101300,54110,Fernside Blvd:Versailles Av,O W 663,"['W', '663']"
57,0101000020E61000001CF22AC6D4905EC0DE04DF347DE14240,0101370,54784,Grand St:#433 (Opp. Wood Middle School),20 663,"['20', '663']"
58,0101000020E610000012F758FAD0905EC07825C9737DE14240,0101380,55410,Grand St:#433 (Wood Middle School),20 663,"['20', '663']"
60,0101000020E610000076BFAF366B905EC0012A66CE44DE4240,0101480,58511,Harbor Bay Pkwy:Ferry Terminal,21,['21']
61,0101000020E610000083BE993DF5905EC06F1283C0CAE14240,0101530,57895,Otis Dr:Heather Walk,20 663,"['20', '663']"
62,0101000020E610000060EA4207388F5EC0B8978FFF5DE04240,0101550,57798,High St:Calhoun St,W 631,['631']
63,0101000020E61000003AC14879F78E5EC00BD28C45D3E04240,0101560,57780,High St:Encinal Av,O W 663,"['W', '663']"
64,0101000020E610000061E932EBFB8E5EC06BCC90CFD0E04240,0101570,57727,High St:Encinal Av,O W 663,"['W', '663']"
65,0101000020E6100000EAF2412AA08E5EC0C677184971E14240,0101580,53114,High St:Fairview Av,O W 663,"['W', '663']"
66,0101000020E61000005CB45B269E8E5EC0AA87C32D7AE14240,0101590,58662,High St:Fairview Av,O W 663,"['W', '663']"
68,0101000020E6100000DEA4B3DD4E8F5EC05DFDD8243FE04240,0101630,53770,Otis Dr:High St,21 314 356,"['21', '314', '356']"
69,0101000020E610000027704628118F5EC07CA30C0BA4E04240,0101640,55235,High St:San Jose Av,W OX 631,"['OX', '631']"
70,0101000020E6100000570E886B108F5EC05B1025B5ABE04240,0101650,51065,High St:San Jose Av,W OX 631 687,"['OX', '631', '687']"
71,0101000020E61000007F5D972BCD8E5EC0FFAC9E3825E14240,0101660,51134,High St:Santa Clara Av,O W 663,"['W', '663']"
72,0101000020E610000057467E58CA8E5EC0C9F5002725E14240,0101670,57720,High St:Santa Clara Av,O W 663,"['W', '663']"
73,0101000020E61000005192640CE28E5EC09833DB15FAE04240,0101680,53304,High St:Sterling Av,663,['663']
2,0101000020E6100000599B108475915EC0982DFE5B6EE24240,0100070,57793,8th St:Portola Av,W 20 663,"['20', '663']"
77,0101000020E6100000F53E9F12218F5EC0F913950D6BDF4240,0101750,58815,Island Dr:Bayfarm Park & Ride Lot,21 OX 631 687,"['21', '631', '687']"
78,0101000020E610000005A96FF40C925EC0A63110BA3AE34240,0101770,50557,Lincoln Av:5th St,96 631 663,"['96', '631', '663']"
79,0101000020E6100000DCFBAFCE0C925EC0FCE82F4F42E34240,0101780,55178,Lincoln Av:5th St,96 631 663,"['96', '631', '663']"
81,0101000020E6100000D6517A4BDE915EC0049E6AE33EE34240,0101800,52165,Lincoln Av:6th St,96 631 663,"['96', '631', '663']"
82,0101000020E61000001C7343F8BC915EC010806E1E3DE34240,0101820,57737,Lincoln Av:Webster St,96 631 663,"['96', '631', '663']"
83,0101000020E61000006AA510C8A5925EC0D2EDDBFFB6E34240,0101830,55363,Main St:Atlantic Av,96,['96']
84,0101000020E6100000A2DE420D158F5EC0898BEDFF2DDE4240,0101920,58669,Maitland Dr:Flower Ln,OX 631 687,"['631', '687']"
85,0101000020E6100000B17AD1683C8F5EC0A053909F8DDE4240,0101940,56706,Maitland Dr:Island Dr,OX 631 687,"['631', '687']"
